codigo,nombre_iniciativa,facultad,carrera,instrumento,anio,semestre,modalidad,estado_sisav,n_estudiantes,n_academicos,n_titulados,n_empleadores,n_organizaciones_osc,n_titulados_charlista,n_titulados_expositor,n_titulados_asistente,n_empleadores_charlista,n_empleadores_expositor,n_empleadores_asistente,n_organizaciones_osc_charlista,n_organizaciones_osc_expositor,n_organizaciones_osc_asistente,competencia_sello,sello_tecnologia,sello_responsabilidad_social,sello_sustentabilidad,sello_genero,competencia_generica,dominios_disciplinares,ciclo_estudio,internacionalizacion,catedra_asignatura,comuna_rm,evidencia,cantidad_act_planificadas,cantidad_act_ejecutadas,requiere_revision,motivo_revision,_archivo_origen,_anio,_origen_dato
DEMO-0011,Iniciativa demo 0011,FHTCS,Diseño_Industrial,EXTENSION,2022,2S,Presencial,EJECUCION,33.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Proyectual; Histórico teórico; Expresivo tecnológico,1,False,Introducción a las ciencias farmacéuticas,El Bosque,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0012,Iniciativa demo 0012,FCNMMA,Ingeniería_Química,EXTENSION,2022,2S,Presencial,EJECUCION,16.0,0.0,7.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,Responsabilidad social; Inclusión,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Línea del Derecho; Línea Contable; Línea de Costos; Línea Finanzas; Línea de Administración; Línea de Auditoria y Ética Profesional; Línea de Tributaria; Tecnologías de la Información Contable,2,False,NOCIONES ELEMENTALES DEL DERECHO PENAL CHILENO DESDE EL TRABAJO SOCIAL,Quinta Normal,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0013,Iniciativa demo 0013,FING,Ingeniería_Civil_en_Mecánica,EXTENSION,2022,2S,Presencial,EJECUCION,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Procesos en la industria alimentario,Innovación en procesos y productos alimentarios",3,False,N/a,Lo Prado,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0014,Iniciativa demo 0014,FING,Ingeniería_Civil_en_Ciencias_de_Datos,VEDP,2022,2S,Presencial,EJECUCION,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Responsabilidad social,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Administrador y diseñador de sistemas y servicios documentales, bibliográficos y administrativos; Creador y administrador de organizaciones de información: archivos, centros de documentación, bibliotecas físicas y digitales; Gestor, analizador y creador de recursos informativos en sistemas y redes; Organizador, buscador y difusor de la información registrada en diferentes medios; Creador de bases de datos documentales; Conductor y generador de necesidades de información; Socializador de usuarios en los procesos de búsqueda y uso de la información; Garante del patrimonio cultural documental",1,False,Introducción a la Ingeniería Civil Química,Colina,SI,4.0,4.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0015,Iniciativa demo 0015,FAE,Administración_Pública,EXTENSION,2022,2S,Presencial,EJECUCION,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Proyectar e Investigar,3,False,Ingeniería de Software,San Miguel,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0016,Iniciativa demo 0016,FAE,Administración_Pública,VEDP,2022,2S,Presencial,EJECUCION,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUSTENTABILIDAD,False,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Planificar, programar y evaluar procesos constructivos,Gestionar y administrar proyectos y procesos constructivos, Desarrollar y ejecutar proyectos y procesos constructivos",1,False,Introducción a la Ingenería Biomédica,Huechuraba,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0017,Iniciativa demo 0017,FING,Ingeniería_Civil_en_Computación_Mención_Informática,VEDP,2022,1S,Online,EJECUCION,50.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,SOSTENIBILIDAD; TECNOLOGIA,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Capacidad de identificar problemáticas sociales emergentes. Capacidad empática, sensibilidad social y fortalezas en el proceso de comunicación",2,False,Inglés III,Las Condes,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0018,Iniciativa demo 0018,FING,Ingeniería_Industrial,VEDP,2022,2S,Presencial,EJECUCION,22.0,0.0,5.0,0.0,25.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,19.0,Sostenibilidad; Responsabilidad social,False,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Políticas sociales y participación en lo público Capacidad de identificar problemáticas sociales emergentes,2,False,TALLER DE ARQUITECTURA II,Independencia,NO,4.0,1.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0019,Iniciativa demo 0019,FAE,Bibliotecología_y_Documentación,EXTENSION,2022,1S,Presencial,EJECUCION,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,"Competencias para la empleabilidad y el Aprendizaje Continuo; Competencias genéricas para la ciudadanía, la vida y el bienestar",Conocimientos profesionales; Competencias Generales de Ingeniería; Formula sistemas organizacionales; Planifica actividades organizacionales; Desarrolla innovación y emprendimiento de negocios,1,False,GESTION DE OPERACIONES; GESTION DE OPERACIONES 1; TRANSPORTE MARITIMO,Estacion Central,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0020,Iniciativa demo 0020,FAE,Bibliotecología_y_Documentación,FCR,2022,1S,Presencial,EJECUCION,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Tecnología; Sostenibilidad,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Competencias Red CRUCH,2,False,Practica de Oficina II	Práctica de Oficina II,Talagante,SI,5.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0021,Iniciativa demo 0021,FAE,Ingeniería_Comercial,FCR,2022,2S,Presencial,EJECUCION,0.0,5.0,33.0,0.0,5.0,8.0,4.0,21.0,0.0,0.0,0.0,1.0,2.0,2.0,Responsabilidad social; Inclusión,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Línea de Auditoria y Ética Profesional; Línea de Tributaria,0,False,Geomorfología Dinámica,Las Condes,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0022,Iniciativa demo 0022,FING,Ingeniería_Civil_Industrial,EXTENSION,2022,1S,Presencial,EJECUCION,41.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseño y desarrollo de soluciones electrónicas; Gestión y supervisión de proyectos eléctricos, electrónicos, de telecomunicaciones y control",2,False,DESARROLLO SUSTENTABLE EN CONSTRUCCION,Quilicura,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0023,Iniciativa demo 0023,FAE,Ingeniería_en_Administración_Agroindustrial,VEDP,2022,1S,Presencial,NO REALIZADO,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Políticas sociales y participación en lo público / Capacidad empática, sensibilidad social y fortalezas en el proceso de comunicación",2,False,Introducción a la ingeniería,Melipilla,SI,7.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0024,Iniciativa demo 0024,FAE,Bibliotecología_y_Documentación,EXTENSION,2022,2S,Hibrida,EJECUCION,87.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Procesos en la industria alimentario, Innovación en procesos y productos alimentarios",3,False,unidad de investigación,Lo Prado,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0025,Iniciativa demo 0025,FHTCS,Diseño_Industrial,VEDP,2022,2S,Presencial,EJECUCION,16.0,2.0,15.0,1.0,4.0,2.0,2.0,11.0,0.0,0.0,1.0,1.0,1.0,2.0,Tecnología; Género,True,False,False,True,Competencias para la empleabilidad y el Aprendizaje Continuo,"Procesos en la industria alimentario,Innovación en procesos y productos alimentarios",1,False,TRABAJO DE TITULO I; PRACTICA PROFESIONAL; TRABAJO DE TITULO II,San Ramon,SI,6.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0026,Iniciativa demo 0026,FCNMMA,Ingeniería_Química,EXTENSION,2022,1S,Presencial,EJECUCION,25.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Responsabilidad social,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Competencias identitarias Diseño UTEM, Competencias Red CRUCH",3,False,Nociones de Economía,Providencia,SI,3.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0027,Iniciativa demo 0027,FING,Ingeniería_Civil_en_Computación_Mención_Informática,EXTENSION,2022,2S,Presencial,EJECUCION,25.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Competencias identitarias Diseño UTEM,1,False,Comercio Internacional I,Lo Espejo,SI,6.0,5.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0028,Iniciativa demo 0028,FHTCS,Diseño_en_Comunicación_Visual,VEDP,2022,2S,Presencial,EJECUCION,20.0,10.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,TECNOLOGIA,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",SIN INFORMACIÓN,2,False,Introducción a la Bibliotecología y Documentación,Maipu,SI,3.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0029,Iniciativa demo 0029,FING,Ingeniería_Civil_en_Mecánica,EXTENSION,2022,2S,Presencial,EJECUCION,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Proyectar,1,False,Fundamentos de la Bibliotecología,Recoleta,SI,5.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0030,Iniciativa demo 0030,FCNMMA,Química_Industrial,EXTENSION,2022,1S,Presencial,EJECUCION,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Competencias identitarias Diseño UTEM, Competencias Red CRUCH",1,False,Máquinas térmicas,Vitacura,SI,4.0,4.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0031,Iniciativa demo 0031,FCNMMA,Ingeniería_en_Biotecnología,EXTENSION,2022,1S,Presencial,EJECUCION,38.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,SUSTENTABILIDAD,False,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Competencias identitarias Diseño UTEM, Competencias Red CRUCH",0,False,TALLER DE INNOVACION Y EMPRENDIMIENTO,Estacion Central,SI,3.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0032,Iniciativa demo 0032,FING,Ingeniería_Civil_en_Computación_Mención_Informática,VEDP,2022,1S,Presencial,EJECUCION,41.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Tecnología; Sostenibilidad,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Operación turística; Planificación y Gestión Turística,2,False,Fundamentos de la Bibliotecología,Conchali,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0033,Iniciativa demo 0033,FAE,Administración_Pública,EXTENSION,2022,1S,Presencial,EJECUCION,42.0,2.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Procesos en la industria alimentario,1,False,"Representación Técnica Digital,Tipografía I",Colina,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0034,Iniciativa demo 0034,FCCOT,Arquitectura,VEDP,2022,2S,Online,EJECUCION,25.0,4.0,7.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,TECNOLOGIA; SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Proyectar, Valorar",2,False,DISEÑO INDUSTRIAL IX; DISEÑO INDUSTRIAL IX TALLER DE TITULACION DISEÑO INDUSTRIAL,Melipilla,NO,1.0,1.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0035,Iniciativa demo 0035,FHTCS,Diseño_en_Comunicación_Visual,VEDP,2022,2S,Presencial,EJECUCION,6.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,False,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Diseño de Sistemas y Procesos Organizacionales, Evaluación y Desarrollo de Sistemas y Procesos Organizacionales, Gestión y Dirección Organizacional",3,False,Recursos y servicios de información en ciencia y tecnologia,Quilicura,SI,7.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0036,Iniciativa demo 0036,FHTCS,Trabajo_Social,EXTENSION,2022,2S,Presencial,NO REALIZADO,23.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,Tecnología,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Farmacia asistencial, hospitalaria y comunitaria",1,False,Diseño Industrial IV,Macul,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0037,Iniciativa demo 0037,FAE,Ingeniería_en_Administración_Agroindustrial,VEDP,2022,2S,Presencial,NO REALIZADO,31.0,0.0,11.0,0.0,18.0,1.0,2.0,8.0,0.0,0.0,0.0,2.0,1.0,15.0,TECNOLOGIA; SOSTENIBILIDAD,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Competencias identitarias Diseño UTEM,0,False,Ingeniería de Procesos Alimentarios II/Técnicas de conservación de los alimentos,Quinta Normal,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0038,Iniciativa demo 0038,FHTCS,Diseño_Industrial,VEDP,2022,1S,Presencial,EJECUCION,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Innovación en procesos y productos alimentarios,1,False,Recursos Turísticos I,La Granja,NO,2.0,1.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0039,Iniciativa demo 0039,FCCOT,Ingeniería_Civil_en_Obras_Civiles,EXTENSION,2022,2S,Presencial,EJECUCION,60.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Tecnologías de Información; Ingeniería de software: desarrolla módulos, evalúa calidad e integra software con soporte en algoritmos. Evalúa demanda de software e introduce mejoras en su desempeño",1,False,Ingenieria de Procesos Alimentarios II,Cerrillos,NO,2.0,2.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0040,Iniciativa demo 0040,FHTCS,Diseño_Industrial,EXTENSION,2022,2S,Presencial,EJECUCION,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Investigar y valorar,2,False,Microbiología aplicada,Lo Espejo,SI,8.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0041,Iniciativa demo 0041,FCCOT,Ingeniería_en_Construcción,VEDP,2022,1S,Presencial,EJECUCION,90.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TECNOLOGIA,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Competencias identitarias Diseño UTEM, Competencias Red CRUCH",2,False,INVESTIGACIÓN SOCIAL I        TIC E IA APLICADAS AL TRABAJO SOCIAL,Talagante,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0042,Iniciativa demo 0042,FHTCS,Trabajo_Social,EXTENSION,2022,2S,Presencial,NO REALIZADO,25.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Tecnología; Responsabilidad social,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Llevar a cabo investigación, desarrollo y optimización de procesos químicos que inciden en la obtención de productos, cautelando el control en la generación de sub productos que conlleven riesgos ambientales",1,False,Acondicionamiento Ambiental,La Granja,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0043,Iniciativa demo 0043,FAE,Ingeniería_Comercial,VEDP,2022,2S,Online,EJECUCION,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Dominios disciplinares; . Diseño de sistemas y procesos organizacionales, evaluación y desarrollo de sistemas y procesos organizacionales, gestión y dirección organizacional; . Diseño y gestión de procesos productivos agroindustriales, evaluación y desarrollo de sistemas y procesos organizacionales, gestión y dirección organizacional; . Planificar, programar, diseñar, ejecutar, optimizar, dirigir, supervisar, y evaluar procesos productivos en industrias de su competencia profesional. Integración conceptual, gráfica de diferentes componentes de la tecnología, conducentes a la presentación de la creación de procesos, equipos y productos. El diseño moderno y la operación de sus sistemas tecnológicos",1,False,TALLER DE ARQUITECTURA VIII,La Granja,NO,2.0,2.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0044,Iniciativa demo 0044,FING,Ingeniería_Civil_en_Ciencias_de_Datos,EXTENSION,2022,2S,Presencial,EJECUCION,21.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,TECNOLOGIA; RESPONSABILIDAD_SOCIAL,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Específica - Ciencia de la tierra Aplicada (Res°01102 - Rediseño 2025); Específica - Geomensura en Ingeniería del Territorio (Res°01102 - Rediseño 2025),2,False,Diseño en Comunicacion Visual,San Miguel,NO,1.0,1.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0045,Iniciativa demo 0045,FAE,Contador_Público_y_Auditor,VEDP,2022,2S,Presencial,EJECUCION,57.0,3.0,2.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Capacidad de identificar problemáticas sociales emergentes. Capacidad empática, sensibilidad social y fortalezas en el proceso de comunicación",1,False,DISEÑO INDUSTRIAL IX; DISEÑO INDUSTRIAL IX TALLER DE TITULACION DISEÑO INDUSTRIAL,Maipu,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0046,Iniciativa demo 0046,FING,Ingeniería_Civil_en_Computación_Mención_Informática,VEDP,2022,2S,Presencial,EJECUCION,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TECNOLOGIA; RESPONSABILIDAD_SOCIAL,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Innovación en procesos y productos alimentarios,2,False,Gestión de Operaciones 2,Pedro Aguirre Cerda,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
